frame.time_epoch,frame.len,ip.src,ip.dst,udp.srcport,udp.dstport,tcp.srcport,tcp.dstport
"1769498291.976272300","589","192.168.0.113","255.255.255.255","53500","31337",,
"1769498291.976334500","592","192.168.0.113","255.255.255.255","65156","31337",,
"1769498291.976413400","592","192.168.0.113","255.255.255.255","65156","31338",,
"1769498291.976441300","589","192.168.0.113","255.255.255.255","53500","31338",,
"1769498291.976498700","589","192.168.0.113","255.255.255.255","53500","31339",,
"1769498291.976516900","592","192.168.0.113","255.255.255.255","65156","31339",,
"1769498291.998292700","64","1.1.1.1","192.168.0.113",,,"53","50467"
"1769498292.011146200","64","1.1.1.1","192.168.0.113",,,"53","50467"
"1769498292.011289000","64","1.1.1.1","192.168.0.113",,,"53","50467"
"1769498292.011289000","64","1.1.1.1","192.168.0.113",,,"53","63993"
"1769498292.011289000","64","1.1.1.1","192.168.0.113",,,"53","63993"
"1769498292.011289000","109","1.1.1.1","192.168.0.113",,,"53","63993"
"1769498292.011289000","143","1.1.1.1","192.168.0.113",,,"53","50467"
"1769498292.011626500","54","192.168.0.113","1.1.1.1",,,"50467","53"
"1769498292.012367200","54","192.168.0.113","1.1.1.1",,,"63993","53"
"1769498292.013428400","1292","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.013535100","1292","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.015845300","123","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.050138000","64","1.1.1.1","192.168.0.113",,,"53","50467"
"1769498292.050211000","54","192.168.0.113","1.1.1.1",,,"50467","53"
"1769498292.063063700","64","1.1.1.1","192.168.0.113",,,"53","63993"
"1769498292.063136400","54","192.168.0.113","1.1.1.1",,,"63993","53"
"1769498292.149414900","82","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.149414900","1292","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.190712000","1514","192.168.0.113","255.255.255.255",,,,
"1769498292.190712000","199","192.168.0.113","255.255.255.255","53500","31337",,
"1769498292.190912400","583","192.168.0.113","255.255.255.255","65156","31337",,
"1769498292.191026400","583","192.168.0.113","255.255.255.255","65156","31338",,
"1769498292.191112200","1514","192.168.0.113","255.255.255.255",,,,
"1769498292.191112200","199","192.168.0.113","255.255.255.255","53500","31338",,
"1769498292.191132000","583","192.168.0.113","255.255.255.255","65156","31339",,
"1769498292.191366400","1514","192.168.0.113","255.255.255.255",,,,
"1769498292.191366400","199","192.168.0.113","255.255.255.255","53500","31339",,
"1769498292.242965200","1292","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.242965200","324","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.242965200","672","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.242965200","67","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.243867300","120","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.244057500","73","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.244589700","1288","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.244684300","1292","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.244803700","953","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.244896200","375","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.244964800","959","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.245030900","375","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.245087100","959","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.245146100","375","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.252545400","1292","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.252715700","140","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.324486400","116","168.119.77.90","192.168.0.113",,,"443","49311"
"1769498292.361467400","163","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.366298500","54","192.168.0.113","168.119.77.90",,,"49311","443"
"1769498292.370352500","67","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.370352500","67","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.370352500","67","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.370352500","71","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.370352500","67","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.370352500","67","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.370747000","73","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.389535100","116","168.119.77.90","192.168.0.113",,,"443","63305"
"1769498292.397030600","68","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.397567700","811","192.168.0.113","255.255.255.255","53500","31337",,
"1769498292.397635500","1001","192.168.0.113","255.255.255.255","65156","31337",,
"1769498292.397696400","811","192.168.0.113","255.255.255.255","53500","31338",,
"1769498292.397721800","1001","192.168.0.113","255.255.255.255","65156","31338",,
"1769498292.397753100","811","192.168.0.113","255.255.255.255","53500","31339",,
"1769498292.397779000","1001","192.168.0.113","255.255.255.255","65156","31339",,
"1769498292.434946400","54","192.168.0.113","168.119.77.90",,,"63305","443"
"1769498292.466751300","889","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.468483800","178","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.470147200","77","192.168.0.113","172.217.28.110","52743","443",,
"1769498292.599775000","66","172.217.28.110","192.168.0.113","443","52743",,
"1769498292.605315400","1004","192.168.0.113","255.255.255.255","53500","31337",,
"1769498292.605424100","822","192.168.0.113","255.255.255.255","65156","31337",,
"1769498292.605454600","1004","192.168.0.113","255.255.255.255","53500","31338",,
"1769498292.605503200","1004","192.168.0.113","255.255.255.255","53500","31339",,
"1769498292.605552900","822","192.168.0.113","255.255.255.255","65156","31338",,
"1769498292.605650500","822","192.168.0.113","255.255.255.255","65156","31339",,
"1769498292.807344800","621","192.168.0.113","255.255.255.255","53500","31337",,
"1769498292.807483400","621","192.168.0.113","255.255.255.255","53500","31338",,
"1769498292.807569400","621","192.168.0.113","255.255.255.255","53500","31339",,
"1769498292.807790500","1004","192.168.0.113","255.255.255.255","65156","31337",,
"1769498292.807878000","1004","192.168.0.113","255.255.255.255","65156","31338",,
"1769498292.807936400","1004","192.168.0.113","255.255.255.255","65156","31339",,
"1769498293.027057000","619","192.168.0.113","255.255.255.255","53500","31337",,
"1769498293.027145000","1007","192.168.0.113","255.255.255.255","65156","31337",,
"1769498293.027211000","619","192.168.0.113","255.255.255.255","53500","31338",,
"1769498293.027231600","1007","192.168.0.113","255.255.255.255","65156","31338",,
"1769498293.027283300","619","192.168.0.113","255.255.255.255","53500","31339",,
"1769498293.027306900","1007","192.168.0.113","255.255.255.255","65156","31339",,
"1769498293.236758000","623","192.168.0.113","255.255.255.255","65156","31337",,
"1769498293.236800300","747","192.168.0.113","255.255.255.255","53500","31337",,
"1769498293.236896700","623","192.168.0.113","255.255.255.255","65156","31338",,
"1769498293.236901000","747","192.168.0.113","255.255.255.255","53500","31338",,
"1769498293.236979300","623","192.168.0.113","255.255.255.255","65156","31339",,
"1769498293.236995900","747","192.168.0.113","255.255.255.255","53500","31339",,
"1769498293.322888600","116","168.119.77.90","192.168.0.113",,,"443","49311"
"1769498293.363943700","54","192.168.0.113","168.119.77.90",,,"49311","443"
"1769498293.391178300","116","168.119.77.90","192.168.0.113",,,"443","63305"
"1769498293.444595700","54","192.168.0.113","168.119.77.90",,,"63305","443"
"1769498293.445115000","587","192.168.0.113","255.255.255.255","53500","31337",,
"1769498293.445217000","587","192.168.0.113","255.255.255.255","53500","31338",,
"1769498293.445278200","587","192.168.0.113","255.255.255.255","53500","31339",,
"1769498293.445747700","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.445747700","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.445747700","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.445747700","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.445747700","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.445747700","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.445747700","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.445747700","313","192.168.0.113","255.255.255.255","65156","31337",,
"1769498293.445928700","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.445928700","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.445928700","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.445928700","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.445928700","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.445928700","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.445928700","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.445928700","313","192.168.0.113","255.255.255.255","65156","31338",,
"1769498293.446068500","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.446068500","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.446068500","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.446068500","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.446068500","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.446068500","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.446068500","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.446068500","313","192.168.0.113","255.255.255.255","65156","31339",,
"1769498293.659556900","815","192.168.0.113","255.255.255.255","65156","31337",,
"1769498293.659556200","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.659556200","165","192.168.0.113","255.255.255.255","53500","31337",,
"1769498293.659622000","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.659622000","165","192.168.0.113","255.255.255.255","53500","31338",,
"1769498293.659660300","1514","192.168.0.113","255.255.255.255",,,,
"1769498293.659660300","165","192.168.0.113","255.255.255.255","53500","31339",,
"1769498293.659729400","815","192.168.0.113","255.255.255.255","65156","31338",,
"1769498293.659796200","815","192.168.0.113","255.255.255.255","65156","31339",,
"1769498293.786519100","83","192.168.0.113","57.144.196.145",,,"54539","443"
"1769498293.876143000","617","192.168.0.113","255.255.255.255","53500","31337",,
"1769498293.876164000","817","192.168.0.113","255.255.255.255","65156","31337",,
"1769498293.876204700","817","192.168.0.113","255.255.255.255","65156","31338",,
"1769498293.876238600","617","192.168.0.113","255.255.255.255","53500","31338",,
"1769498293.876255700","817","192.168.0.113","255.255.255.255","65156","31339",,
"1769498293.876278900","617","192.168.0.113","255.255.255.255","53500","31339",,
"1769498293.909546400","79","57.144.196.145","192.168.0.113",,,"443","54539"
"1769498293.957835300","54","192.168.0.113","57.144.196.145",,,"54539","443"
"1769498294.086817700","589","192.168.0.113","255.255.255.255","65156","31337",,
"1769498294.086978300","589","192.168.0.113","255.255.255.255","65156","31338",,
"1769498294.087084400","589","192.168.0.113","255.255.255.255","65156","31339",,
"1769498294.087562400","1514","192.168.0.113","255.255.255.255",,,,
"1769498294.087562400","1514","192.168.0.113","255.255.255.255",,,,
